ID;Polycolor;Language;Label;Definition;Description;Governance level ID;Governance level Label;Codelist ID;Codelist label;Reference Source;Reference Link;Status ID;Status label;Parent ID;Successor ID;Predecessor ID
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/berriasian;#8CCD60;en;Berriasian;IUGS /CGI value;"Berriasian (older bound-145.5 +/-4 Ma; younger bound-140.2 +/-3 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lowerCretaceous;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/jurassic;#34C5CA;en;Jurassic;IUGS /CGI value;"Jurassic (older bound-199.6 +/-0.6 Ma; younger bound-145.5 +/-4 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/mesozoic;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lateJurassic;#B3E3EE;en;Late/Upper Jurassic;IUGS /CGI value;"Late/Upper Jurassic (older bound-161.2 +/-4 Ma; younger bound-145.5 +/-4 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/superseded;Superseded;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/jurassic;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/upperJurassic;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/tithonian;#D9F1F7;en;Tithonian;IUGS /CGI value;"Tithonian (older bound-150.8 +/-4 Ma; younger bound-145.5 +/-4 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/upperJurassic;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/kimmeridgian;#CCECF4;en;Kimmeridgian;IUGS /CGI value;"Kimmeridgian (older bound-155.6 Ma; younger bound-150.8 +/-4 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/upperJurassic;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/oxfordian;#BFE7F1;en;Oxfordian;IUGS /CGI value;"Oxfordian (older bound-161.2 +/-4 Ma; younger bound-155.6 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/upperJurassic;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/middleJurassic;#80CFD8;en;Middle Jurassic;IUGS /CGI value;"Middle Jurassic (older bound-175.6 +/-2 Ma; younger bound-161.2 +/-4 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/jurassic;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/callovian;#BFE7E5;en;Callovian;IUGS /CGI value;"Callovian (older bound-164.7 +/-4 Ma; younger bound-161.2 +/-4 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/middleJurassic;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/bathonian;#B3E2E3;en;Bathonian;IUGS /CGI value;"Bathonian (older bound-167.7 +/-3.5 Ma; younger bound-164.7 +/-4 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/middleJurassic;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/bajocian;#A6DDE0;en;Bajocian;IUGS /CGI value;"Bajocian (older bound-171.6 +/-3 Ma; younger bound-167.7 +/-3.5 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/middleJurassic;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/aalenian;#9AD9DD;en;Aalenian;IUGS /CGI value;"Aalenian (older bound-175.6 +/-2 Ma; younger bound-171.6 +/-3 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/middleJurassic;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/earlyJurassic;#42AED0;en;Early/Lower Jurassic;IUGS /CGI value;"Early/Lower Jurassic (older bound-199.6 +/-0.6 Ma; younger bound-175.6 +/-2 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/superseded;Superseded;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/jurassic;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lowerJurassic;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/toarcian;#99CEE3;en;Toarcian;IUGS /CGI value;"Toarcian (older bound-183 +/-1.5 Ma; younger bound-175.6 +/-2 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lowerJurassic;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/pliensbachian;#80C5DD;en;Pliensbachian;IUGS /CGI value;"Pliensbachian (older bound-189.6 +/-1.5 Ma; younger bound-183 +/-1.5 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lowerJurassic;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/sinemurian;#67BCD8;en;Sinemurian;IUGS /CGI value;"Sinemurian (older bound-196.5 +/-1 Ma; younger bound-189.6 +/-1.5 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lowerJurassic;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/hettangian;#4EB3D3;en;Hettangian;IUGS /CGI value;"Hettangian (older bound-199.6 +/-0.6 Ma; younger bound-196.5 +/-1 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lowerJurassic;;
