Column1;Column17;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16
http://inspire.ec.europa.eu/codelist/LithologyValue/diorite;#E673A6;en;diorite;;"Phaneritic crystalline rock consisting of intermediate plagioclase, commonly with hornblende and often with biotite or augite; colour index M less than 90, sodic plagioclase (An0-An50), no feldspathoid, and between 0 and 5 percent quartz. Includes rocks defined modally in QAPF field 10 as diorite.";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/dioriticRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/dioriticRock;#D959A1;en;dioritic rock;;Phaneritic crystalline rock with M less than 90, consisting of intermediate plagioclase, commonly with hornblende and often with biotite or augite. A dioritoid with a plagioclase to total feldspar ratio (in the QAPF fraction) greater than 0.9. Includes rocks defined modally in QAPF fields 10, 10' and 10*.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/dioritoid;;
http://inspire.ec.europa.eu/codelist/LithologyValue/dioritoid;#D9408C;en;dioritoid;;Phaneritic crystalline igneous rock with M less than 90, consisting of intermediate plagioclase, commonly with hornblende and often with biotite or augite. Plagioclase to total feldspar ratio is greater that 0.65, and anorthite content of plagioclase is less than 50 percent. Less than 10 percent feldspathoid mineral and less than 20 percent quartz in the QAPF fraction. Includes rocks defined modally in QAPF fields 9 and 10 (and their subdivisions).;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/intermediateCompositionIgneousRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/doleriticRock;#8019CC;en;doleritic rock;;"Dark colored gabbroic (basaltic) or dioritic (andesitic) rock intermediate in grain size between basalt and gabbro and composed of plagioclase, pyroxene and opaque minerals; often with ophitic texture. Typically occurs as hypabyssal intrusions. Includes dolerite, microdiorite, diabase and microgabbro.";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/dolomite;#73A6F2;en;dolomite;;Pure carbonate sedimentary rock with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/dolomiticOrMagnesianSedimentaryRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/dolomiticOrMagnesianSedimentaryMaterial;;en;dolomitic or magnesian sedimentary material;;Carbonate sedimentary material of unspecified consolidation degree with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1. Includes dolomite sediment, dolostone, lime dolostone and magnesite-stone.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateSedimentaryMaterial;;
http://inspire.ec.europa.eu/codelist/LithologyValue/dolomiticOrMagnesianSedimentaryRock;#6699F2;en;dolomitic or magnesian sedimentary rock;;Carbonate sedimentary rock with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1. Includes dolostone, lime dolostone and magnesite-stone.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateSedimentaryRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/dolomiticSediment;;en;dolomitic sediment;;Carbonate sediment with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateSediment;;
http://inspire.ec.europa.eu/codelist/LithologyValue/duricrust;#B3E6D9;en;duricrust;;Rock forming a hard crust or layer at or near the Earth's surface at the time of formation, e.g. in the upper horizons of a soil, characterized by structures indicative of pedogenic origin.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/compositeGenesisRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/eclogite;#33CC59;en;eclogite;;"Metamorphic rock composed of 75 percent or more (by volume) omphacite and garnet, both of which are present as major constituents, the amount of neither of them being higher than 75 percent (by volume); the presence of plagioclase precludes classification as an eclogite.";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/evaporite;#99CCE6;en;evaporite;;"Nonclastic sedimentary rock composed of at least 50 percent non-carbonate salts, including chloride, sulfate or borate minerals; formed through precipitation of mineral salts from a saline solution (non-carbonate salt rock).";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/chemicalSedimentaryMaterial;;
http://inspire.ec.europa.eu/codelist/LithologyValue/exoticAlkalineRock;#B300B3;en;exotic alkaline rock;;Kimberlite, lamproite, or lamprophyre. Generally are potassic, mafic or ultramafic rocks. Olivine (commonly serpentinized in kimberlite), and phlogopite are significant constituents.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/exoticCompositionIgneousRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/exoticCompositionIgneousRock;#B200D9;en;exotic composition igneous rock;;"Rock with 'exotic' mineralogical, textural or field setting characteristics; typically dark colored, with abundant phenocrysts. Criteria include: presence of greater than 10 percent melilite or leucite, or presence of kalsilite, or greater than 50 percent carbonate minerals. Includes Carbonatite, Melilitic rock, Kalsilitic rocks, Kimberlite, Lamproite, Leucitic rock and Lamprophyres.";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/exoticEvaporite;;en;exotic evaporite;;Evaporite that is not 50 percent halite or 50 percent gypsum or anhydrite.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/evaporite;;
http://inspire.ec.europa.eu/codelist/LithologyValue/faultRelatedMaterial;#E6E600;en;fault-related material;;"Material formed as a result of brittle faulting, composed of greater than 10 percent matrix; matrix is fine-grained material caused by tectonic grainsize reduction.";http://inspire.ec.europa.eu/registry/governance-level/eu-legal;Legal (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;CGI Controlled Vocabulary;http://resource.geosciml.org/classifier/cgi/lithology/fault_related_material;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/compositeGenesisMaterial;;
http://inspire.ec.europa.eu/codelist/LithologyValue/fineGrainedIgneousRock;#A666F2;en;fine grained igneous rock;;"Igneous rock in which the framework of the rock consists of crystals that are too small to determine mineralogy with the unaided eye; framework may include up to 50 percent glass. A significant percentage of the rock by volume may be phenocrysts. Includes rocks that are generally called volcanic rocks.";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/foidBearingAlkaliFeldsparSyenite;;en;foid bearing alkali feldspar syenite;;Alkali feldspar syenitic rock that contains 0-10 percent feldspathoid mineral and no quartz in the QAPF fraction. QAPF field 6'.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparSyeniticRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/foidBearingAlkaliFeldsparTrachyte;;en;foid bearing alkali feldspar trachyte;;Alkali feldspar trachytic rock that contains no quartz and between 0 and 10 percent feldspathoid mineral in the QAPF fraction. QAPF field 6'.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparTrachyticRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/foidBearingAnorthosite;;en;foid bearing anorthosite;;Anorthositic rock that contains between 0 and 10 percent feldspathoid mineral and no quartz in the QAPF fraction. QAPF field 10'.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/anorthositicRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/foidBearingDiorite;;en;foid bearing diorite;;Dioritic rock that contains between 0 and 10 percent feldspathoid minerals in the QAPF fraction. QAPF field 10'.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/dioriticRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/foidBearingGabbro;;en;foid bearing gabbro;;Gabbroic rock that contains 0-10 percent feldspathoid minerals and no quartz in the QAPF fraction. QAPF field 10'.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/gabbroicRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/foidBearingLatite;;en;foid bearing latite;;Latitic rock that contains no quartz and between 0 and 10 percent feldspathoid minerals in the QAPF fraction. QAPF field 8'.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/latiticRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/foidBearingMonzodiorite;;en;foid bearing monzodiorite;;Monzodioritic rock that contains between 0 and 10 percent feldspathoid mineral.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/monzodioriticRock;;
